Accident_ID,Date,Year,Month,Month_Num,Day_of_Week,State,City,Accident_Severity,Number_of_Casualties,Weather_Condition,Road_Type,Vehicle_Type,Time_of_Day,Is_Fatal
ACC0001,2023-08-02,2023,August,8,Wednesday,Maharashtra,Mumbai,Low,0,Hazy,State Highway,Tempo,Morning (6-10),0
ACC0002,2023-10-17,2023,October,10,Tuesday,Telangana,Hyderabad,Medium,2,Stormy,National Highway,Truck,Afternoon (10-15),0
ACC0003,2022-10-31,2022,October,10,Monday,Bihar,Patna,Medium,6,Stormy,Rural Road,Truck,Night (19-23),0
ACC0004,2023-04-21,2023,April,4,Friday,Karnataka,Bengaluru,High,10,Rainy,Urban Road,Truck,Afternoon (10-15),1
ACC0005,2021-11-20,2021,November,11,Saturday,Maharashtra,Mumbai,Low,1,Cloudy,Expressway,Two-Wheeler,Morning (6-10),0
ACC0006,2022-07-29,2022,July,7,Friday,Telangana,Hyderabad,Low,1,Cloudy,Service Road,Auto-Rickshaw,Evening (15-19),0
ACC0007,2023-03-28,2023,March,3,Tuesday,Rajasthan,Jaipur,Medium,4,Clear,National Highway,SUV,Afternoon (10-15),0
ACC0008,2020-07-25,2020,July,7,Saturday,Madhya Pradesh,Gwalior,Medium,4,Cloudy,State Highway,Two-Wheeler,Evening (15-19),0
ACC0009,2021-03-05,2021,March,3,Friday,Karnataka,Bengaluru,High,13,Stormy,Service Road,Truck,Afternoon (10-15),1
ACC0010,2022-08-04,2022,August,8,Thursday,Madhya Pradesh,Gwalior,High,8,Hazy,Service Road,Two-Wheeler,Morning (6-10),1
ACC0011,2021-04-14,2021,April,4,Wednesday,Uttar Pradesh,Agra,Low,0,Cloudy,Expressway,Tempo,Evening (15-19),0
ACC0012,2021-03-11,2021,March,3,Thursday,West Bengal,Siliguri,Medium,4,Hazy,State Highway,Truck,Late Night (23-6),0
ACC0013,2023-01-08,2023,January,1,Sunday,Karnataka,Belagavi,High,11,Cloudy,Urban Road,Truck,Afternoon (10-15),1
ACC0014,2022-11-09,2022,November,11,Wednesday,West Bengal,Kolkata,High,7,Clear,Service Road,Truck,Night (19-23),1
ACC0015,2023-05-06,2023,May,5,Saturday,Maharashtra,Nashik,Medium,5,Cloudy,Expressway,Two-Wheeler,Late Night (23-6),0
ACC0016,2020-01-24,2020,January,1,Friday,Maharashtra,Aurangabad,High,10,Foggy,National Highway,Two-Wheeler,Night (19-23),1
ACC0017,2020-11-19,2020,November,11,Thursday,West Bengal,Kolkata,High,9,Hazy,Expressway,SUV,Afternoon (10-15),1
ACC0018,2022-11-05,2022,November,11,Saturday,Maharashtra,Nagpur,Medium,3,Hazy,State Highway,Two-Wheeler,Afternoon (10-15),0
ACC0019,2023-01-09,2023,January,1,Monday,Telangana,Hyderabad,Medium,2,Stormy,National Highway,Two-Wheeler,Evening (15-19),0
ACC0020,2021-05-05,2021,May,5,Wednesday,Uttar Pradesh,Kanpur,High,6,Stormy,Service Road,Bus,Morning (6-10),1
ACC0021,2022-12-26,2022,December,12,Monday,Tamil Nadu,Coimbatore,Medium,6,Hazy,State Highway,Two-Wheeler,Late Night (23-6),0
ACC0022,2023-05-27,2023,May,5,Saturday,Madhya Pradesh,Indore,High,8,Stormy,Service Road,Two-Wheeler,Night (19-23),1
ACC0023,2023-10-07,2023,October,10,Saturday,Gujarat,Rajkot,Medium,3,Stormy,State Highway,Car,Evening (15-19),0
ACC0024,2020-02-13,2020,February,2,Thursday,Bihar,Darbhanga,Medium,2,Rainy,National Highway,Tempo,Morning (6-10),0
ACC0025,2021-04-13,2021,April,4,Tuesday,Maharashtra,Mumbai,Low,0,Foggy,Urban Road,Tempo,Night (19-23),0
